ID_REF,GSM432926,GSM432927,GSM432928,GSM432929,GSM432930,GSM432931
221965_at,6.499607997,6.470287731,6.277716634,6.771600351,6.624890567,6.481166557
221966_at,4.442631327,4.664933591,4.736858513,4.24143521,4.392635406,4.667565948
221970_s_at,9.046019757,9.227844376,8.991723981,9.243276126,9.390254284,9.249784929
221972_s_at,6.432947576,6.316203904,6.355612895,6.458200995,6.244606288,6.387705095
221979_at,5.039798258,5.273275227,4.872428668,5.493658295,5.202531954,5.237569208
221981_s_at,4.857016943,4.609677405,4.924845129,5.045702759,4.655287157,4.955338089
221983_at,6.098505351,6.154880085,6.212740364,5.9526417,5.732396406,5.659198809
221984_s_at,7.479722878,7.316855719,7.310769233,7.353243195,7.015734759,6.920999597
221985_at,4.726215475,4.783823851,4.752753236,4.477833143,4.51408678,4.817073776
221987_s_at,6.660561981,6.661670277,6.676239053,6.455775165,6.454034241,6.358758882
221988_at,5.063817827,5.192653169,4.944814385,5.35565208,5.227311001,5.304085317
221989_at,6.677043085,6.526809545,6.876492645,6.260490306,6.526670544,6.55699735
221991_at,3.891701489,4.056023699,4.186853948,3.779605223,3.909906767,3.972255881
221992_at,4.45872617,4.475706714,4.557416517,4.533855313,4.397496953,4.418366892
221998_s_at,6.059821471,5.98210339,5.773117812,5.935688324,5.895433509,5.958954056
221999_at,4.737457686,4.684444257,4.549628939,4.896608719,4.891327432,4.785621384
222000_at,7.177523182,7.51384975,7.266218886,7.418442372,7.677705696,7.476244963
222003_s_at,3.907494877,3.882485669,3.763677689,4.409893171,4.118981585,4.008794521
222006_at,5.78739036,5.724674023,5.775187338,5.903306384,5.677800162,5.738992269
222010_at,7.233202233,7.224069763,7.453408387,7.198657749,7.104025959,7.124238343
222014_x_at,6.683130341,6.749632996,6.618800726,6.843236746,6.808719228,6.662359088
222015_at,7.597888074,7.377274455,7.711415616,7.5215849,7.135425828,7.372522129
222018_at,3.975278269,4.193379666,4.08210751,4.032330552,4.109047798,4.011865521
222024_s_at,4.233657781,4.050401275,3.92397507,2.546322019,4.067734209,4.201372166
222028_at,5.238363402,5.709729246,5.307990162,6.092195753,6.115999167,5.939305414
222029_x_at,6.013735442,5.784981324,5.761498598,5.838103734,5.931378165,5.772336998
222032_s_at,4.84539073,5.019761839,4.847531448,4.713226229,4.78298379,4.615077411
222034_at,4.101424632,4.247911657,4.163903351,3.851221514,4.174493224,4.087297626
222035_s_at,8.086931582,8.076492653,8.06443096,8.16962555,8.224177011,8.302854007
222039_at,6.868649981,6.769950343,6.824544107,7.017069447,6.922420934,6.885784427
222040_at,4.303636203,4.418263214,4.588022714,4.609677405,4.669386056,4.504492976
222044_at,6.427212794,6.873134317,6.442843526,6.818024216,6.636140644,6.712431127
222045_s_at,5.542294685,5.749960679,5.730191186,5.885169993,5.666088255,5.835435742
222047_s_at,8.83701659,8.660031889,8.834201408,8.785219517,8.707694234,8.629446835
222048_at,4.366326836,4.658702846,4.340908868,5.062606983,4.886378776,4.612391609
222052_at,7.022968167,7.033081054,6.818916276,7.632103986,7.433078889,7.391938691
