Gene,t,group1_median,group2_median,log2FC,pval,FDR,Gene Symbol,ENTREZ_GENE_ID
209076_s_at,-0.6950615027737606,8.062624261,7.993137394,-0.06948686700000017,0.5252800380029526,0.6929353205841977,WDR45B,56270
211988_at,-0.6947536934774369,8.889244415,8.861683884,-0.027560531000000665,0.5254536565734599,0.693061744607997,SMARCE1,6605
227977_at,-0.6945381493625918,4.282270029,4.118027559,-0.16424247000000047,0.525575258003668,0.6931669545381498,ZADH2,284273
203731_s_at,-0.6936826834159553,4.959076622,4.870267096,-0.08880952600000036,0.526058078149719,0.6932198006886612,ZKSCAN5,23660
226922_at,-0.6936331685214944,6.092416734,5.933470988,-0.15894574600000055,0.5260860338678698,0.6932198006886612,RANBP2,5903
205483_s_at,0.6943174274284538,5.980724746,6.100854435,0.12012968899999965,0.5256998015995668,0.6932198006886612,ISG15,9636
219104_at,-0.6935776375139917,5.107358789,5.03700235,-0.07035643900000021,0.5261173875104058,0.6932198006886612,RNF141,50862
203639_s_at,-0.6940268801601457,4.169767141,4.20646786,0.036700718999999715,0.525863776997436,0.6932198006886612,FGFR2,2263
219984_s_at,0.6936325755952014,4.34522001,4.409256566,0.06403655599999958,0.526086368635861,0.6932198006886612,HRASLS,57110
207163_s_at,-0.6937022214627678,6.229105029,6.064824741,-0.1642802880000005,0.5260470474176542,0.6932198006886612,AKT1,207
226893_at,-0.6938257477968015,6.376861043,6.337620183,-0.0392408599999996,0.5259773111505359,0.6932198006886612,ABL2,27
216271_x_at,-0.6942847037542641,4.324065073,4.265317322,-0.05874775100000029,0.5257182679297868,0.6932198006886612,SYDE1,85360
200918_s_at,-0.6941711261725267,8.100164121,8.085933199,-0.0142309220000012,0.525782364642998,0.6932198006886612,SRPR,6734
215942_s_at,0.6937056069804006,4.481743112,4.524081224,0.042338111999999484,0.5260451360491859,0.6932198006886612,GTSE1,51512
209796_s_at,0.694116324642918,7.525028317,7.556104842,0.031076524999999577,0.5258132935190986,0.6932198006886612,CNPY2,10330
211559_s_at,0.6933438179916169,5.898449617,6.072640935,0.1741913180000001,0.5262494203128572,0.6933386327261235,CCNG2,901
239042_at,0.6931112089500508,4.317140425,4.276992227,-0.0401481979999998,0.5263807932855115,0.6934046068324444,TSR1,55720
212060_at,-0.6931069582751231,7.096580621,7.033475417,-0.06310520400000019,0.5263831942023348,0.6934046068324444,U2SURP,23350
224637_at,-0.6928521522854731,9.365333094,9.394168067,0.028834973000000375,0.5265271311742644,0.6935390759540812,OST4,100128731
